mkt,k,method,sharpe,ret,dd,flips_k,agree,edge_bp,bos_ft,bos_win,cho_ft,cho_win,sh1,sh2,nev
BTC-H1,2,wick,-1.144298966424031,-447.5874667394921,468.552680673016,46.066798002474,48.10901256074081,0.031124870970785996,-2.3941785074144026,45.876288659793815,0.9274757523396522,46.73967147834744,-1.0621614023757187,-1.2478887308473314,3951
BTC-H1,2,close,-0.4835930948380262,-189.13502928778394,287.9063342057494,80.79442891831218,48.033373063170444,0.1274053506164834,-0.00953467533380797,46.42614023144996,6.570997245305927,48.28368794326241,-0.7622446137560474,-0.1609952027275353,6465
BTC-H1,3,wick,-0.527275005614833,-205.53697650710916,264.6170898337561,33.49063087002337,47.72977435332966,-0.2616282959192602,-15.062356618994096,43.37108594270486,7.211668332319637,48.35616438356165,-0.11129296946752212,-1.0140543770995833,2963
BTC-H1,3,close,-0.1894034532958763,-73.99049223242868,204.7641550201706,54.1760205250378,47.70877747976985,-0.10389663612097065,-2.7613922491801537,45.445783132530124,9.42036705278235,47.96954314720812,0.18821564572951843,-0.6312280032468907,4440
BTC-H1,4,wick,-0.38151149055276246,-148.60694836080282,268.6495036813811,27.282723232693453,47.49879584394138,-0.263298041704279,-4.53876416338725,44.06354515050167,4.10917554297812,46.50967199327166,0.278765764984855,-1.1503852698481265,2387
BTC-H1,4,close,-0.20967156746977464,-81.72492000725664,223.44772471548913,41.23333486049388,47.11317985875447,-0.39667872833592577,-8.583786705318388,44.772447724477246,8.659123119192861,48.0822679266259,0.29571898309213474,-0.7984085389897956,3426
BTC-H1,5,wick,-0.14663005421344102,-57.114543892512856,157.98840402299365,23.067760113620743,47.45521686277208,-0.024401282638677666,8.269991733562915,45.489443378119006,4.5057189192639155,46.865671641791046,-0.12300525511445116,-0.17493284739934298,2048
BTC-H1,5,close,0.07986758846878964,31.118916406832103,166.472721922932,33.51353827827919,46.825833677354254,-0.29653777293638806,-3.9308080673914625,44.74852071005917,8.876993915576813,47.40082079343365,0.4753498682595816,-0.3790769658161713,2815
BTC-H4,2,wick,0.4665532258910307,173.49247558062956,124.90396812878997,44.438336082096384,49.43944127917662,1.205529389936566,35.76939782680255,47.758284600389864,5.109698089951899,47.5206611570248,0.553757553550464,0.37252308492670794,998
BTC-H4,2,close,0.5842545598264296,217.23013158217856,75.22346774147462,79.80575407733187,47.73019665502665,0.12821076356289415,11.388457126159503,45.47803617571059,-7.790436502464359,47.93103448275862,0.5696848696357596,0.601199894304882,1645
BTC-H4,3,wick,0.40805503850583036,151.10135850296933,162.64092628671074,33.44328385559831,49.16329532916514,0.7763435503397361,22.52528591281333,46.17486338797814,-6.6568233115113005,47.25274725274725,0.7660040221510778,0.022165489059521606,731
BTC-H4,3,close,0.801371724867803,297.92607934188146,133.9778874161075,49.752611324903796,48.355081786436315,0.5972551531308068,29.603843155287766,45.81749049429658,0.04927343455512789,46.678966789667896,1.167779089197905,0.4043203279024012,1069
BTC-H4,4,wick,0.49685138315957533,183.266114591912,137.65364932261343,27.0295033901411,48.732134624250804,0.5334102806586736,27.855551523230393,46.33333333333333,4.745051054422557,48.29931972789115,0.6613759330191586,0.3210875910108892,595
BTC-H4,4,close,0.8953806063690901,330.6325342221448,102.58190008386023,37.47480300531428,48.50299401197605,0.7248038423239955,35.428159326441005,47.11779448621554,14.320351174490892,46.568627450980394,1.1188772349319303,0.6564510757527734,808
BTC-H4,5,wick,0.7112353112096771,262.32734774137214,150.12889700460983,22.08172988821697,49.94928538497003,1.2409480540495006,29.206853123709973,46.99248120300752,13.489240351557532,49.166666666666664,1.1368388141334544,0.25598173634657173,506
BTC-H4,5,close,0.8893986494863592,328.4204798921869,131.66353607643728,30.694520798973798,48.88991248272686,0.6317601437860079,-11.203830306375153,42.39766081871345,28.978790864021523,48.50299401197605,1.2704253578645444,0.4812746215246011,677
BTC-D1,2,wick,0.4131533054161358,154.27665951460042,79.97819881487906,47.82847718526663,52.76381909547738,9.225455449695835,548.8885017896595,57.14285714285714,13.074623276246019,48.23529411764706,0.5817894055255626,0.22391787401351973,172
BTC-D1,2,close,0.68534518895061,255.78734966961875,112.46330835524007,74.21660252886201,50.80960357342267,5.183492132550777,267.97746891691105,50.90909090909091,15.409718147300875,48.091603053435115,0.9543058397282042,0.3839376012872448,247
